AMD
AMZN
BTC
BTC-USD
DJI
GOOG
HIMS
INTC
IWM
MAGS
MSFT
MSTU
NDX
NDX]
NVDA
NVDL
NVDQ
NVDU
PLTU
PPP
PREDICTEDQLD
PTIR
QLD
QQQ
RANDOM
RUT
SLARL.TA
SOFI
SOXL
SOXX
SPXL
SPY
SPYU
SSMI
SSO
SUI
TEST
TNA
TQQQ
UPRO
UWM
VOO
XLU
^NDX
